time,id,x,y,orientation,velocity,acceleration,length,width
0,689,-2.7533,7.3085,-0.7634,12.1798,-0.0335,4.7244,1.9507
1,689,-1.8748,6.463,-0.7671,12.1859,0.0731,4.7244,1.9507
2,689,-0.9985,5.618,-0.7659,12.2133,0.4236,4.7244,1.9507
3,689,-0.1198,4.7728,-0.7594,12.2712,0.7924,4.7244,1.9507
4,689,0.7718,3.9264,-0.7584,12.3353,0.6157,4.7244,1.9507
5,689,1.6767,3.069,-0.7407,12.3505,-0.1767,4.7244,1.9507
6,689,2.5954,2.229,-0.7151,12.3109,-0.7955,4.7244,1.9507
7,689,3.5183,1.4274,-0.7068,12.2591,-0.4572,4.7244,1.9507
8,689,4.4397,0.6404,-0.7181,12.2591,0.4693,4.7244,1.9507
9,689,5.3602,-0.164,-0.7408,12.3109,0.8046,4.7244,1.9507
10,689,6.2789,-1.0043,-0.7425,12.3535,0.1798,4.7244,1.9507
11,689,7.1975,-1.8474,-0.7239,12.3383,-0.6126,4.7244,1.9507
12,689,8.118,-2.6612,-0.7142,12.2743,-0.7802,4.7244,1.9507
13,689,9.0391,-3.4598,-0.7122,12.2164,-0.4084,4.7244,1.9507
14,689,9.9606,-4.2553,-0.7141,12.189,-0.064,4.7244,1.9507
15,689,10.882,-5.0539,-0.7142,12.1859,0.0335,4.7244,1.9507
16,689,11.8031,-5.8525,-0.7141,12.195,0.0914,4.7244,1.9507
17,689,12.7245,-6.6511,-0.7142,12.1981,0.0243,4.7244,1.9507
18,689,13.6456,-7.4496,-0.714,12.1615,-0.6187,4.7244,1.9507
19,689,14.5737,-8.254,-0.7247,12.0274,-1.905,4.7244,1.9507
20,689,15.4759,-9.0529,-0.7198,11.7744,-3.2644,4.7244,1.9507
21,689,16.3522,-9.8213,-0.708,11.3477,-3.4138,4.7244,1.9507
22,689,17.2035,-10.5501,-0.7027,10.8143,-3.4138,4.7244,1.9507
23,689,18.0283,-11.2487,-0.714,10.4272,-3.0693,4.7244,1.9507
